Close,Adj_Close,Chg
44.32,38.018555,-0.011817341
44.360001,38.052872,0.000902638
45.68,39.185196,0.029756598
45.459999,38.996471,-0.004816232
45.970001,39.433956,0.011218579
46.189999,39.622684,0.004785926
45.169998,38.747704,-0.022082805
44.400002,38.087189,-0.017046558
44.450001,38.130074,0.001125969
44.73,38.370266,0.00629928
44.049999,37.786953,-0.015202214
43.68,37.469555,-0.008399672
43.630001,37.426662,-0.001144743
43.599998,37.400925,-0.000687665
44.59,38.250175,0.022706658
44.169998,37.889881,-0.009419408
44.529999,38.198704,0.00815054
45.459999,38.996471,0.020884661
45.349998,38.902107,-0.002419809
44.830002,38.456047,-0.011466217
45,38.601883,0.003792277
45.119999,38.704811,0.002666398
45.279999,38.842072,0.003546355
44.93,38.541824,-0.007729969
45.16,38.739124,0.005119114
46.330002,39.742783,0.025908149
46.470001,39.862873,0.003021681
46.509998,39.897186,0.000860776
46.950001,40.27462,0.009460166
46.939999,40.266048,-0.000212839
47.049999,40.360405,0.002343339
46.59,39.965813,-0.009776711
47.259998,40.54055,0.014380716
47.360001,40.626331,0.002115931
47.43,40.76643,0.003448478
47.369999,40.714859,-0.001265036
47.82,41.101635,0.009499628
47.220001,40.585938,-0.012546873
47.099998,40.482792,-0.002541422
47.549999,40.869572,0.009554183
47.540001,40.860977,-0.000210303
47.57,40.886753,0.000630822
48.5,41.686108,0.019550464
50,42.975365,0.030927737
49.779999,42.786274,-0.004399986
49.75,42.760483,-0.000602787
49.5,42.545609,-0.00502506
48.810001,41.952549,-0.013939394
49.23,42.313541,0.008604769
49.810001,42.812054,0.011781406
49.25,42.330734,-0.011242628
49.360001,42.425278,0.00223346
49.360001,42.425278,0
49.450001,42.502636,0.001823394
49.599998,42.631557,0.003033247
49.790001,42.794868,0.003830754
49.869999,42.863628,0.001606735
49.639999,42.665939,-0.004612045
49.68,42.700325,0.000805936
49.150002,42.244778,-0.010668467
48.990002,42.107258,-0.003255314
49.759998,42.769077,0.015717457
49.790001,42.794868,0.000603029
49.580002,42.614376,-0.004217609
49.93,42.915199,0.007059191
48.689999,41.849419,-0.024834558
48.889999,42.021309,0.004107345
48.810001,41.952549,-0.001636313
47.970001,41.230568,-0.017209467
48.57,41.746269,0.012507735
48.52,41.703297,-0.001029361
48.549999,41.729076,0.000618153
48.880001,42.012726,0.006797419
48.91,42.038502,0.000613528
49.07,42.176022,0.003271287
48.200001,41.428246,-0.017729885
47.759998,41.050064,-0.009128603
47.060001,40.44841,-0.014656591
47.110001,40.491383,0.001062415
46.369999,39.855354,-0.015707762
46.41,39.889732,0.000862569
47.02,40.414032,0.013143733
47.360001,40.706264,0.007230954
47.169998,40.542961,-0.004011741
46.459999,39.932713,-0.015051885
46.860001,40.276516,0.008609558
47.060001,40.44841,0.004267847
47.220001,40.585938,0.003400084
47.779999,41.067261,0.011859354
47.220001,40.585938,-0.011720358
46.43,39.906918,-0.016730425
45.599998,39.193527,-0.017876374
46.279999,39.777996,0.014912386
45.740002,39.313862,-0.011668109
44.93,38.617657,-0.017708894
44.580002,38.316837,-0.007789701
45.66,39.245102,0.024226034
45.189999,38.841133,-0.010293488
45.380001,39.004429,0.004204203
45.080002,38.746586,-0.006610608
45.650002,39.236507,0.012644237
45.720001,39.296677,0.001533521
45.310001,38.944279,-0.008967628
44.799999,38.505928,-0.011255851
44.860001,38.557499,0.0013393
44.200001,37.990223,-0.014712469
44.240002,38.024609,0.000905128
43.82,37.663609,-0.009493852
43.869999,37.706589,0.001141155
44.52,38.26527,0.014816535
44.860001,38.557499,0.007636925
44.68,38.402786,-0.004012527
44.279999,38.058983,-0.008952554
43.009998,36.967415,-0.028680956
43.799999,37.64642,0.018367662
42.990002,36.950222,-0.018493073
43.150002,37.087734,0.003721547
44.400002,38.162125,0.028968904
44.82,38.523121,0.009459536
44.650002,38.376999,-0.003793099
45.049999,38.720802,0.008958569
45.529999,39.133366,0.010654841
45.23,38.875515,-0.006589032
45.790001,39.356842,0.012381238
46.189999,39.700642,0.008735457
45.529999,39.133366,-0.014288837
45.810001,39.374035,0.006149969
46.259998,39.760807,0.009823022
46.41,39.889732,0.003242515
46.93,40.336674,0.011204437
47.369999,40.714859,0.009375711
46.939999,40.345276,-0.009077349
47.139999,40.517166,0.004260474
46.439999,39.915512,-0.01484936
46.490002,39.958488,0.001076674
46.540001,40.001469,0.001075641
46.279999,39.777996,-0.00558662
46.779999,40.207752,0.010803863
47.240002,40.603123,0.009833203
47.07,40.457012,-0.003598516
46.240002,39.743618,-0.017633383
